strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	title	date_submitted
Australia/VIC49/2020	ncov	?	MT450964	2020-03-12	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29807	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT450964	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC49/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC498/2020	ncov	?	MT451354	2020-03-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451354	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC498/2020, complete genome	2020-05-11
Australia/VIC534/2020	ncov	?	MT451368	2020-03-25	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29803	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451368	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC534/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC54/2020	ncov	?	MT450969	2020-03-12	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29804	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT450969	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC54/2020, complete genome	2020-05-11
Australia/VIC544/2020	ncov	?	MT451372	2020-03-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29834	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451372	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC544/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC546/2020	ncov	?	MT451374	2020-03-24	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29802	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451374	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC546/2020 ORF1ab polyprotein (ORF1ab) gene, complete cds; ORF1a polyprotein (ORF1ab) gene, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC548/2020	ncov	?	MT451376	2020-03-25	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29799	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451376	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC548/2020, complete genome	2020-05-11
Australia/VIC549/2020	ncov	?	MT451377	2020-03-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451377	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC549/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC583/2020	ncov	?	MT451399	2020-03-25	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29806	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451399	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC583/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC61/2020	ncov	?	MT450976	2020-03-13	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29805	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT450976	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC61/2020 ORF1ab polyprotein (ORF1ab) gene, complete cds; ORF1a polyprotein (ORF1ab) gene, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC616/2020	ncov	?	MT451424	2020-03-26	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451424	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC616/2020 ORF1ab polyprotein (ORF1ab) gene, complete cds; ORF1a polyprotein (ORF1ab) gene, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC630/2020	ncov	?	MT451436	2020-03-26	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29813	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451436	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC630/2020, complete genome	2020-05-11
Australia/VIC645/2020	ncov	?	MT451447	2020-03-28	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29813	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451447	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC645/2020, complete genome	2020-05-11
Australia/VIC662/2020	ncov	?	MT451462	2020-03-27	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29815	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451462	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC662/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC68/2020	ncov	?	MT450982	2020-03-13	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29806	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT450982	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC68/2020, complete genome	2020-05-11
Australia/VIC713/2020	ncov	?	MT451497	2020-03-29	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451497	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC713/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC716/2020	ncov	?	MT451498	2020-03-27	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451498	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC716/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC720/2020	ncov	?	MT451500	2020-03-28	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29832	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451500	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC720/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC73/2020	ncov	?	MT450985	2020-03-14	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT450985	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC73/2020, complete genome	2020-05-11
Australia/VIC734/2020	ncov	?	MT451509	2020-03-30	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451509	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC734/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC767/2020	ncov	?	MT451534	2020-03-20	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451534	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC767/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC771/2020	ncov	?	MT451538	2020-03-18	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29802	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451538	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC771/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC797/2020	ncov	?	MT451560	2020-04-01	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451560	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC797/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC800/2020	ncov	?	MT451563	2020-04-01	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29802	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451563	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC800/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC803/2020	ncov	?	MT451565	2020-04-01	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29807	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451565	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC803/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC808/2020	ncov	?	MT451570	2020-03-28	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29806	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451570	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC808/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC82/2020	ncov	?	MT450992	2020-03-14	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29806	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT450992	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC82/2020, complete genome	2020-05-11
Australia/VIC824/2020	ncov	?	MT451581	2020-04-03	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29815	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451581	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC824/2020, complete genome	2020-05-11
Australia/VIC851/2020	ncov	?	MT451595	2020-04-04	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29794	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451595	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC851/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC92/2020	ncov	?	MT451002	2020-03-15	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29807	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451002	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC92/2020, complete genome	2020-05-11
Australia/VIC920/2020	ncov	?	MT451631	2020-03-27	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29809	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451631	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC920/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC927/2020	ncov	?	MT451632	2020-03-30	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29808	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451632	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC927/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC96/2020	ncov	?	MT451006	2020-03-16	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29802	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451006	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC96/2020, complete genome	2020-05-11
Australia/VIC962/2020	ncov	?	MT451654	2020-03-27	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29783	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451654	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC962/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC969/2020	ncov	?	MT451660	2020-03-27	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29789	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451660	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC969/2020 ORF1ab polyprotein (ORF1ab) gene, complete cds; ORF1a polyprotein (ORF1ab) gene, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC970/2020	ncov	?	MT451661	2020-03-27	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29783	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451661	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC970/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC975/2020	ncov	?	MT451665	2020-03-28	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29801	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451665	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC975/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC985/2020	ncov	?	MT451670	2020-03-30	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29802	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451670	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC985/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC987/2020	ncov	?	MT451672	2020-03-30	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29771	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451672	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC987/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
China/Beijing_IME-BJ05/2020	ncov	?	MT291835	2020-01-27	Asia	China	Beijing		Asia	China	Beijing	genome	29834	Homo sapiens	?	?	?	?	Fan et al	https://www.ncbi.nlm.nih.gov/nuccore/MT291835	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Beijing_IME-BJ05/2020, complete genome	2020-04-06
China/WHUHnCoV020/2020	ncov	?	MT079853	2020-01-22	Asia	China	China		Asia	China	China	genome	29766	Homo sapiens	?	?	?	?	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/MT079853	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV020/2020, complete genome	2020-05-15
China/Wuhan_YB012611/2020	ncov	?	MT259227	2020-01-26	Asia	China	Wuhan	Hubei	Asia	China	Wuhan	genome	29863	Homo sapiens	?	?	?	?	Si et al	https://www.ncbi.nlm.nih.gov/nuccore/MT259227	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Wuhan_YB012611/2020, complete genome	2020-03-30
ENV/USA/UF-11/2020	ncov	?	MT476384	2020-02-21	North America	USA	Florida		North America	USA	Florida	genome	29894	environment	?	?	?	?	Lednicky et al	https://www.ncbi.nlm.nih.gov/nuccore/MT476384	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/ENV/USA/UF-11/2020, complete genome	2020-05-15
France/10006HC/2020	ncov	?	MT470173	2020-03-01	Europe	France	France		Europe	France	France	genome	29903	Homo sapiens	?	?	?	?	De Prost et al	https://www.ncbi.nlm.nih.gov/nuccore/MT470173	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/France/10006HC/2020, complete genome	2020-05-14
France/10015BY/2020	ncov	?	MT470154	2020-03-01	Europe	France	France		Europe	France	France	genome	29903	Homo sapiens	?	?	?	?	De Prost et al	https://www.ncbi.nlm.nih.gov/nuccore/MT470154	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/France/10015BY/2020, complete genome	2020-05-14
France/10023FD/2020	ncov	?	MT470160	2020-03-01	Europe	France	France		Europe	France	France	genome	29903	Homo sapiens	?	?	?	?	De Prost et al	https://www.ncbi.nlm.nih.gov/nuccore/MT470160	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/France/10023FD/2020, complete genome	2020-05-14
France/10041MR/2020	ncov	?	MT470111	2020-03-01	Europe	France	France		Europe	France	France	genome	29903	Homo sapiens	?	?	?	?	De Prost et al	https://www.ncbi.nlm.nih.gov/nuccore/MT470111	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/France/10041MR/2020, complete genome	2020-05-14
France/10045DZ/2020	ncov	?	MT470123	2020-03-01	Europe	France	France		Europe	France	France	genome	29903	Homo sapiens	?	?	?	?	De Prost et al	https://www.ncbi.nlm.nih.gov/nuccore/MT470123	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/France/10045DZ/2020, complete genome	2020-05-14
France/10060KV/2020	ncov	?	MT470129	2020-03-01	Europe	France	France		Europe	France	France	genome	29903	Homo sapiens	?	?	?	?	De Prost et al	https://www.ncbi.nlm.nih.gov/nuccore/MT470129	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/France/10060KV/2020, complete genome	2020-05-14
France/10068ND/2020	ncov	?	MT470137	2020-03-01	Europe	France	France		Europe	France	France	genome	29903	Homo sapiens	?	?	?	?	De Prost et al	https://www.ncbi.nlm.nih.gov/nuccore/MT470137	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/France/10068ND/2020, complete genome	2020-05-14
France/10078MA/2020	ncov	?	MT470133	2020-03-01	Europe	France	France		Europe	France	France	genome	29903	Homo sapiens	?	?	?	?	De Prost et al	https://www.ncbi.nlm.nih.gov/nuccore/MT470133	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/France/10078MA/2020, complete genome	2020-05-14
France/40003KA/2020	ncov	?	MT470170	2020-03-01	Europe	France	France		Europe	France	France	genome	29903	Homo sapiens	?	?	?	?	De Prost et al	https://www.ncbi.nlm.nih.gov/nuccore/MT470170	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/France/40003KA/2020, complete genome	2020-05-14
